57,10,Uso informal del lenguaje,Sin Información,0A722C9B-49D6-E011-8FA4-003048BF2C77
58,11,Motoras finas,Sin Información,0B722C9B-49D6-E011-8FA4-003048BF2C77
59,11,Arte ,Sin Información,0C722C9B-49D6-E011-8FA4-003048BF2C77
60,11,Música / Movimiento ,Sin Información,0D722C9B-49D6-E011-8FA4-003048BF2C77
61,11,Bloques,Sin Información,0E722C9B-49D6-E011-8FA4-003048BF2C77
62,11,Arena / Agua,Sin Información,0F722C9B-49D6-E011-8FA4-003048BF2C77
63,11,Juego dramático,Sin Información,10722C9B-49D6-E011-8FA4-003048BF2C77
64,11,Naturaleza / Ciencia,Sin Información,11722C9B-49D6-E011-8FA4-003048BF2C77
65,11,Matemáticas / Números ,Sin Información,12722C9B-49D6-E011-8FA4-003048BF2C77
66,11,Uso de la televisión, videos, y/o computadoras,Sin Información,13722C9B-49D6-E011-8FA4-003048BF2C77
67,11,Promoviendo la aceptación de la diversidad,Sin Información,14722C9B-49D6-E011-8FA4-003048BF2C77
68,12,Supervisión de las actividades motoras gruesas,Sin Información,15722C9B-49D6-E011-8FA4-003048BF2C77
69,12,Supervisión general de los niños (además de la actividad motora gruesa),Sin Información,16722C9B-49D6-E011-8FA4-003048BF2C77
70,12,Disciplina,Sin Información,17722C9B-49D6-E011-8FA4-003048BF2C77
71,12,Interacciones entre el personal y los niños,Sin Información,18722C9B-49D6-E011-8FA4-003048BF2C77
72,12,Interacciones entre los niños ,Sin Información,19722C9B-49D6-E011-8FA4-003048BF2C77
73,13,Horario ,Sin Información,1A722C9B-49D6-E011-8FA4-003048BF2C77
74,13,Juego libre,Sin Información,1B722C9B-49D6-E011-8FA4-003048BF2C77
75,13,Tiempo en grupo ,Sin Información,1C722C9B-49D6-E011-8FA4-003048BF2C77
76,13,Provisiones para los niños con discapacidades,Sin Información,1D722C9B-49D6-E011-8FA4-003048BF2C77
77,14,Provisiones para los padres,Sin Información,1E722C9B-49D6-E011-8FA4-003048BF2C77
78,14,Provisiones para las necesidades personales del personal ,Sin Información,1F722C9B-49D6-E011-8FA4-003048BF2C77
79,14,Provisiones para las necesidades profesionales del personal ,Sin Información,20722C9B-49D6-E011-8FA4-003048BF2C77
80,14,Interacción y cooperación entre el personal,Sin Información,21722C9B-49D6-E011-8FA4-003048BF2C77
81,14,Supervisión y evaluación del personal,Sin Información,22722C9B-49D6-E011-8FA4-003048BF2C77
82,14,Oportunidades para el desarrollo profesional,Sin Información,23722C9B-49D6-E011-8FA4-003048BF2C77
